MatchID,Inning,Batter,Runs,Balls
1327281,0,342619,71,45
1327281,0,345821,1,4
1327281,0,437316,2,3
1327281,0,465793,28,22
1327281,0,623695,14,14
1327281,0,629074,0,1
1327281,0,784379,36,21
1327281,0,1028655,8,12
1327281,1,34538,8,6
1327281,1,41437,8,4
1327281,1,41445,6,9
1327281,1,307774,55,54
1327281,1,348144,5,6
1327281,1,380558,32,32
1327281,1,512191,0,1
1327281,1,716733,2,4
1327281,1,1113618,0,1
1327281,1,1158088,4,3
1327281,1,1161606,13,10
1298150,0,34538,5,6
1298150,0,41445,9,7
1298150,0,233901,52,44
1298150,0,307774,4,13
1298150,0,348144,0,1
1298150,0,380558,51,35
1298150,0,387048,2,4
1298150,0,1072470,16,9
1298150,0,1113618,2,3
1298150,0,1161606,6,4
1298150,1,26421,1,2
1298150,1,30045,1,2
1298150,1,34102,4,7
1298150,1,253802,82,55
1298150,1,422108,4,8
1298150,1,446507,15,10
1298150,1,554691,2,3
1298150,1,625371,40,38
1298150,0,34538,5,6
1298150,0,41445,9,7
1298150,0,233901,52,44
1298150,0,307774,4,13
1298150,0,348144,0,1
1298150,0,380558,51,35
1298150,0,387048,2,4
1298150,0,1072470,16,9
1298150,0,1113618,2,3
1298150,0,1161606,6,4
1298150,1,26421,1,2
1298150,1,30045,1,2
1298150,1,34102,4,7
1298150,1,253802,82,55
1298150,1,422108,4,8
1298150,1,446507,15,10
1298150,1,554691,2,3
1298150,1,625371,40,38
1298158,0,55412,19,20
1298158,0,55870,31,28
1298158,0,293831,0,1
1298158,0,299572,9,16
1298158,0,495964,10,15
1298158,0,541224,0,1
1298158,0,587791,19,17
1298158,0,806241,3,2
1298158,0,938959,17,16
1298158,0,951781,8,10
1298158,1,34538,17,15
1298158,1,41445,22,18
1298158,1,233901,44,40
1298158,1,307774,14,16
1298158,1,348144,4,10
1298158,1,380558,5,10
1298158,1,387048,0,1
1298158,1,1015499,12,14
1298158,1,1072470,1,1
1298163,0,47850,5,6
1298163,0,219885,1,2
1298163,0,233712,6,11
1298163,0,348109,7,7
1298163,0,379774,27,27
1298163,0,440522,6,9
1298163,0,643197,8,14
1298163,0,886607,15,20
1298163,0,1036191,6,16
1298163,0,1104703,0,1
1298163,0,1193548,5,9
1298163,1,34538,4,2
1298163,1,233901,12,16
1298163,1,307774,49,39
1298163,1,348144,4,5
1298163,1,380558,6,5
1298163,1,512191,20,16
1298170,0,34538,52,22
1298170,0,41445,28,23
1298170,0,233901,2,7
1298170,0,307774,4,4
1298170,0,348144,6,15
1298170,0,380558,51,37
1298170,0,1015499,0,1
1298170,0,1158088,5,3
1298170,0,1161606,3,2
1298170,0,1205559,28,11
1298170,1,265564,3,4
1298170,1,318845,7,6
1298170,1,372116,36,21
1298170,1,379143,0,5
1298170,1,379145,1,1
1298170,1,436757,15,9
1298170,1,481979,1,5
1298170,1,542023,4,1
1298170,1,550215,1,2
1298170,1,595978,18,18
1298170,1,600498,20,14
1298175,0,56143,0,1
1298175,0,348049,7,6
1298175,0,410765,0,3
1298175,0,436677,20,17
1298175,0,536936,10,8
1298175,0,538506,1,5
1298175,0,550133,5,11
1298175,0,629058,54,48
1298175,0,935995,24,21
1298175,0,1001587,0,1
