ID,First Name,Last Name,Scrapped Name,Country,Birthdate,Died,Batting style,Bowling style
1028655,Pathum,Nissanka,P Nissanka,Sri Lanka,5/18/1998,Alive,Right-hand bat,
629074,Kusal,Mendis, BKG Mendis,Sri Lanka,2/2/1995,Alive,Right-hand bat,Legbreak
465793,Dhananjaya,de Silva,DM de Silva,Sri Lanka,9/6/1991,Alive,Right-hand bat,Right-arm offbreak
345821,Danushka,Gunathilaka,MD Gunathilaka,Sri Lanka,3/17/1991,Alive,Left-hand bat,Right-arm offbreak
342619,Bhanuka,Rajapaksa,PBB Rajapaksa,Sri Lanka,10/24/1991,Alive,Left-hand bat,Right-arm medium
437316,Dasun,Shanaka,MD Shanaka,Sri Lanka,9/9/1991,Alive,Right-hand bat,Right-arm medium
784379,Wanindu,Hasaranga,PWH de Silva,Sri Lanka,7/29/1997,Alive,Right-hand bat,Legbreak
623695,Chamika,Karunaratne,C Karunaratne,Sri Lanka,5/29/1996,Alive,Right-hand bat,Right-arm medium-fast
1138316,Maheesh,Theekshana,M Theekshana,Sri Lanka,8/1/2000,Alive,Right-hand bat,Right-arm offbreak
826689,Pramod,Madushan,PM Liyanagamage,Sri Lanka,12/14/1993,Alive,Right-hand bat,Right-arm medium-fast
793007,Dilshan,Madushanka,D Madushanka,Sri Lanka,9/18/2000,Alive,Right-hand bat,Left-arm medium-fast
307774,Mohammad,Rizwan,Mohammad Rizwan,Pakistan,1/6/1992,Alive,Right-hand bat,Right-arm medium
348144,Babar,Azam,Babar Azam,Pakistan,15-10-94,Alive,Right-hand bat,Right-arm offbreak
512191,Fakhar,Zaman,Fakhar Zaman,Pakistan,10/4/1990,Alive,Left-hand bat,Slow left-arm orthodox
380558,Iftikhar,Ahmed,Iftikhar Ahmed,Pakistan,3/9/1990,Alive,Right-hand bat,Right-arm medium
41445,Mohammad,Nawaz,Mohammad Nawaz,Pakistan,3/10/1974,Alive,Right-hand bat,Right-arm offbreak
716733,Khushdil,Shah,Khushdil Shah,Pakistan,7/2/1995,Alive,Left-hand bat,Right-arm medium
1113618,Asif,Ali,Asif Ali,Pakistan,1/10/1991,Alive,Right-hand bat,Right-arm medium
34538,Shadab,Khan,Shadab Khan,Pakistan,14-04-85,Alive,Right-hand bat,Right-arm medium
1161606,Haris,Rauf,Haris Rauf,Pakistan,7/11/1993,Alive,Right-hand bat,Right-arm medium-fast
1158088,Naseem,Shah,Naseem Shah,Pakistan,15-02-03,Alive,Right-hand bat,Right-arm medium-fast
41437,Mohammad,Hasnain,Mohammad Hasnain,Pakistan,24-03-64,Alive,Right-hand bat,"Right-arm medium, Right-arm offbreak"
307826,Hasan,Ali,Hasan Ali,Pakistan,,Alive,Right-hand bat,Right-arm medium
348152,Usman,Qadir,Usman Qadir,Pakistan,10/8/1993,Alive,Left-hand bat,Legbreak
629074,Kusal,Mendis,BKG Mendis,Sri Lanka,1995-02-02T00:00Z,Alive,Right-hand bat,Legbreak
233901,Shan,Masood,Shan Masood,Pakistan,14-10-89,Alive,Left-hand bat,Right-arm medium-fast
387048,Haider,Ali,Haider Ali,Pakistan,24-12-70,Alive,Right-hand bat,Right-arm medium-fast
1072470,Shaheen,Shah,Shaheen Shah Afridi,Pakistan,2000-04-06T00:00Z,Alive,Left-hand bat,Left-arm fast
422108,KL,Rahul,KL Rahul,India,18-04-92,Alive,Right-hand bat,Right-arm medium
34102,Rohit,Sharma,RG Sharma,India,1987-04-30T00:00Z,Alive,Right-hand bat,Right-arm offbreak
253802,Virat,Kohli,V Kohli,India,1988-11-05T00:00Z,Alive,Right-hand bat,Right-arm medium
446507,Suryakumar,Yadav,SA Yadav,India,1990-09-14T00:00Z,Alive,Right-hand bat,Right-arm medium
554691,Axar,Patel,AR Patel,India,1994-01-20T00:00Z,Alive,Left-hand bat,Slow left-arm orthodox
625371,Hardik,Pandya,HH Pandya,India,1993-10-11T00:00Z,Alive,Right-hand bat,Right-arm medium-fast
30045,Dinesh,Karthik,KD Karthik,India,1985-06-01T00:00Z,Alive,Right-hand bat,Right-arm offbreak
26421,Ravichandran,Ashwin,R Ashwin,India,1986-09-17T00:00Z,Alive,Right-hand bat,Right-arm offbreak
481896,Mohammed,Shami,Mohammed Shami,India,3/9/1990,Alive,Right-hand bat,Right-arm fast-medium
326016,Bhuvneshwar,Kumar,B Kumar,India,1990-02-05T00:00Z,Alive,Right-hand bat,Right-arm medium
1125976,Arshdeep,Singh,Arshdeep Singh,India,5/2/1999,Alive,Left-hand bat,Left-arm medium-fast
1205559,Mohammad,Haris,Mohammad Haris,Pakistan,2001-03-30T00:00Z,Alive,Right-hand bat,Right-arm offbreak
1015499,Mohammad,Wasim,Mohammad Wasim,Pakistan,23-06-93,Alive,Right-hand bat,Right-arm offbreak
308967,Jos,Buttler,JC Buttler,England,1990-09-08T00:00Z,Alive,Right-hand bat,
249866,Alex,Hales,AD Hales,England,1989-01-03T00:00Z,Alive,Right-hand bat,Right-arm medium
669365,Phil,Salt,PD Salt,England,1996-08-28T00:00Z,Alive,Right-hand bat,Right-arm offbreak
311158,Ben,Stokes,BA Stokes,England,1991-06-04T00:00Z,Alive,Left-hand bat,Right-arm fast-medium
911707,Harry,Brook,HC Brook,England,1999-02-22T00:00Z,Alive,Right-hand bat,Right-arm medium
8917,Moeen,Ali,MM Ali,England,1987-06-18T00:00Z,Alive,Left-hand bat,Right-arm offbreak
403902,Liam,Livingstone,LS Livingstone,England,1993-08-04T00:00Z,Alive,Right-hand bat,Legbreak
662973,Sam,Curran,SM Curran,England,1998-06-03T00:00Z,Alive,Left-hand bat,Left-arm medium-fast
247235,Chris,Woakes,CR Woakes,England,1989-03-02T00:00Z,Alive,Right-hand bat,Right-arm fast-medium
288992,Chris,Jordan,CJ Jordan,England,1988-10-04T00:00Z,Alive,Right-hand bat,Right-arm fast-medium
244497,Adil,Rashid,AU Rashid,England,1988-02-17T00:00Z,Alive,Right-hand bat,Legbreak
938959,Wessly,Madhevere,W Madhevere,Zimbabwe,2000-09-04T00:00Z,Alive,Right-hand bat,Right-arm offbreak
55412,Craig,Ervine,CR Ervine,Zimbabwe,1985-08-19T00:00Z,Alive,Left-hand bat,Right-arm offbreak
951781,Milton,Shumba,M Shumba,Zimbabwe,2000-10-19T00:00Z,Alive,Left-hand bat,Slow left-arm orthodox
55870,Sean,Williams,SC Williams,Zimbabwe,1986-09-26T00:00Z,Alive,Left-hand bat,Slow left-arm orthodox
299572,Sikandar,Raza,Sikandar Raza,Zimbabwe,24-04-86,Alive,Right-hand bat,Right-arm offbreak
293831,Regis,Chakabva,RW Chakabva,Zimbabwe,1987-09-20T00:00Z,Alive,Right-hand bat,Right-arm offbreak
495964,Ryan,Burl,RP Burl,Zimbabwe,1994-04-15T00:00Z,Alive,Left-hand bat,Legbreak
541224,Luke,Jongwe,LM Jongwe,Zimbabwe,1995-02-06T00:00Z,Alive,Right-hand bat,Right-arm fast-medium
587791,B,Evans,B Evans,Zimbabwe,,Alive,Right-hand bat,Right-arm medium
806241,Richard,Ngarava,R Ngarava,Zimbabwe,1997-12-28T00:00Z,Alive,Left-hand bat,Left-arm fast-medium
827051,Blessing,Muzarabani,B Muzarabani,Zimbabwe,1996-10-02T00:00Z,Alive,Right-hand bat,Right-arm fast-medium
236489,Dawid,Malan,DJ Malan,England,1987-09-03T00:00Z,Alive,Left-hand bat,Legbreak
521637,Ben,Duckett,BM Duckett,England,1994-10-17T00:00Z,Alive,Left-hand bat,Right-arm offbreak
308251,David,Willey,DJ Willey,England,1990-02-28T00:00Z,Alive,Left-hand bat,Left-arm fast-medium
461632,Reece,Topley,RJW Topley,England,1994-02-21T00:00Z,Alive,Right-hand bat,Left-arm fast-medium
1203995,Shahnawaz,Dahani,Shahnawaz Dhani,Pakistan,1998-08-05T00:00Z,Alive,Right-hand bat,Right-arm fast-medium
573170,Luke,Wood,L Wood,England,1995-08-02T00:00Z,Alive,Left-hand bat,Left-arm fast-medium
473191,Richard,Gleeson,RJ Gleeson,England,1987-12-02T00:00Z,Alive,Right-hand bat,Right-arm fast-medium
211855,Liam,Dawson,LA Dawson,England,1990-03-01T00:00Z,Alive,Right-hand bat,Slow left-arm orthodox
