ID,First Name,Last Name,Scrapped Name,Country,Birthdate,Died,Batting style,Bowling style,Generic_ID
307774,Mohammad,Rizwan,Mohammad Rizwan,Pakistan,,Alive,Right-hand bat,Right-arm medium,1
348144,Babar,Azam,Babar Azam,Pakistan,15-10-94,Alive,Right-hand bat,Right-arm offbreak,2
233901,Shan,Masood,Shan Masood,Pakistan,14-10-89,Alive,Left-hand bat,Right-arm medium-fast,3
380558,Iftikhar,Ahmed,Iftikhar Ahmed,Pakistan,,Alive,Right-hand bat,Right-arm medium,4
34538,Shadab,Khan,Shadab Khan,Pakistan,14-04-85,Alive,Right-hand bat,Right-arm medium,5
387048,Haider,Ali,Haider Ali,Pakistan,24-12-70,Alive,Right-hand bat,Right-arm medium-fast,6
41445,Mohammad,Nawaz,Mohammad Nawaz,Pakistan,03-10-74,Alive,Right-hand bat,Right-arm offbreak,7
1113618,Asif,Ali,Asif Ali,Pakistan,,Alive,Right-hand bat,Right-arm medium,8
1072470,Shaheen,Shah,Shaheen Shah Afridi,Pakistan,2000-04-06T00:00Z,Alive,Left-hand bat,Left-arm fast,9
1161606,Haris,Rauf,Haris Rauf,Pakistan,,Alive,Right-hand bat,Right-arm medium-fast,10
1158088,Naseem,Shah,Naseem Shah,Pakistan,15-02-03,Alive,Right-hand bat,Right-arm medium-fast,11
422108,KL,Rahul,KL Rahul,India,18-04-92,Alive,Right-hand bat,Right-arm medium,1
34102,Rohit,Sharma,RG Sharma,India,1987-04-30T00:00Z,Alive,Right-hand bat,Right-arm offbreak,2
253802,Virat,Kohli,V Kohli,India,1988-11-05T00:00Z,Alive,Right-hand bat,Right-arm medium,3
446507,Suryakumar,Yadav,SA Yadav,India,1990-09-14T00:00Z,Alive,Right-hand bat,Right-arm medium,4
554691,Axar,Patel,AR Patel,India,1994-01-20T00:00Z,Alive,Left-hand bat,Slow left-arm orthodox,5
625371,Hardik,Pandya,HH Pandya,India,1993-10-11T00:00Z,Alive,Right-hand bat,Right-arm medium-fast,6
30045,Dinesh,Karthik,KD Karthik,India,1985-06-01T00:00Z,Alive,Right-hand bat,Right-arm offbreak,7
26421,Ravichandran,Ashwin,R Ashwin,India,1986-09-17T00:00Z,Alive,Right-hand bat,Right-arm offbreak,8
481896,Mohammed,Shami,Mohammed Shami,India,03-09-90,Alive,Right-hand bat,Right-arm fast-medium,9
326016,Bhuvneshwar,Kumar,B Kumar,India,1990-02-05T00:00Z,Alive,Right-hand bat,Right-arm medium,10
1125976,Arshdeep,Singh,Arshdeep Singh,India,05-02-99,Alive,Left-hand bat,Left-arm medium-fast,11
938959,Wessly,Madhevere,W Madhevere,Zimbabwe,2000-09-04T00:00Z,Alive,Right-hand bat,Right-arm offbreak,1
55412,Craig,Ervine,CR Ervine,Zimbabwe,1985-08-19T00:00Z,Alive,Left-hand bat,Right-arm offbreak,2
951781,Milton,Shumba,M Shumba,Zimbabwe,2000-10-19T00:00Z,Alive,Left-hand bat,Slow left-arm orthodox,3
55870,Sean,Williams,SC Williams,Zimbabwe,1986-09-26T00:00Z,Alive,Left-hand bat,Slow left-arm orthodox,4
299572,Sikandar,Raza,Sikandar Raza,Zimbabwe,24-04-86,Alive,Right-hand bat,Right-arm offbreak,5
293831,Regis,Chakabva,RW Chakabva,Zimbabwe,1987-09-20T00:00Z,Alive,Right-hand bat,Right-arm offbreak,6
495964,Ryan,Burl,RP Burl,Zimbabwe,1994-04-15T00:00Z,Alive,Left-hand bat,Legbreak,7
541224,Luke,Jongwe,LM Jongwe,Zimbabwe,1995-02-06T00:00Z,Alive,Right-hand bat,Right-arm fast-medium,8
587791,B,Evans,B Evans,Zimbabwe,,Alive,Right-hand bat,Right-arm medium,9
806241,Richard,Ngarava,R Ngarava,Zimbabwe,1997-12-28T00:00Z,Alive,Left-hand bat,Left-arm fast-medium,10
827051,Blessing,Muzarabani,B Muzarabani,Zimbabwe,1996-10-02T00:00Z,Alive,Right-hand bat,Right-arm fast-medium,11
1015499,Mohammad,Wasim,Mohammad Wasim,Pakistan,23-06-93,Alive,Right-hand bat,Right-arm offbreak,1
233712,Stephan,Myburgh,SJ Myburgh,Netherlands,1984-02-28T00:00Z,Alive,Left-hand bat,Right-arm offbreak,1
643197,Max,O'Dowd,MP O'Dowd,Netherlands,1994-03-04T00:00Z,Alive,Right-hand bat,Right-arm offbreak,2
1036191,Bas,de,BFW de Leede,Netherlands,1999-11-15T00:00Z,Alive,Right-hand bat,Right-arm fast-medium,3
219885,Tom,Cooper,TLW Cooper,Netherlands,1986-11-26T00:00Z,Alive,Right-hand bat,Right-arm offbreak,4
379774,Colin,Ackermann,CN Ackermann,Netherlands,1991-04-04T00:00Z,Alive,Right-hand bat,Right-arm offbreak,5
886607,SA,Edwards,SA Edwards,Netherlands,,Alive,Right-hand bat,Right-arm medium,6
47850,Roelof,van,RE van der Merwe,Netherlands,1984-12-31T00:00Z,Alive,Right-hand bat,Slow left-arm orthodox,7
1193548,Tim,Pringle,TJG Pringle,Netherlands,2002-08-29T00:00Z,Alive,Right-hand bat,Slow left-arm orthodox,8
440522,Logan,van,LV van Beek,Netherlands,1990-09-07T00:00Z,Alive,Right-hand bat,Right-arm medium-fast,9
1104703,Fred,Klaassen,FJ Klaassen,Netherlands,1992-11-13T00:00Z,Alive,Right-hand bat,Left-arm fast-medium,10
348109,Paul,van,PA van Meekeren,Netherlands,1993-01-15T00:00Z,Alive,Right-hand bat,Right-arm fast-medium,11
595419,Brandon,Glover,BD Glover,Netherlands,1997-04-03T00:00Z,Alive,Right-hand bat,Right-arm fast,12
