Title,Season,SeriesID
Asia Cup,2022,3150302
England tour of Pakistan,2022,4366362
Women's Asia Cup,2022/23,3181427
Asia Cup,2013/14,9933834
Pakistan in South Africa ODI Series,2013/14,4291287
Pakistan in Australia ODI Series,2016/17,4448160
ICC Men's T20 World Cup,2022/23,4784326
Pakistan in Australia Test Series,2016/17,8215831
Pakistan in New Zealand Test Series,2016/17,9218979
ICC Champions Trophy,2017,3092746
Pakistan v West Indies T20I Series,2016/17,7222057
Pakistan v West Indies ODI Series,2016/17,2740473
Pakistan v West Indies Test Series,2016/17,6403685
Pakistan Women in New Zealand ODI Series,2016/17,7230218
ICC Women's Championship,2016/17,4361301
Asian Cricket Council Women's Twenty20 Asia Cup,2016/17,6317982
ICC Women's World Cup Qualifier,2016/17,2780226
Pakistan in West Indies T20I Series,2017,7450747
Pakistan in West Indies ODI Series,2017,1269818
Pakistan in West Indies Test Series,2017,5803709
ICC Women's World Cup,2017,6601921
Pakistan tour of New Zealand,2017/18,708044
Independence Cup,2017/18,8431025
"Pakistan tour of Ireland, England and Scotland",2018,6060711
Sri Lanka tour of United Arab Emirates and Pakistan,2017/18,8906877
Pakistan tour of United Arab Emirates,2017/18,9787833
New Zealand Women tour of United Arab Emirates,2017/18,894435
Pakistan Women tour of Sri Lanka,2017/18,6112116
West Indies tour of Pakistan,2018,4138206
Zimbabwe Twenty20 Tri-Series,2018,4756423
Pakistan tour of Zimbabwe,2018,8147327
Pakistan tour of South Africa,2018/19,1302146
World Cup,2019,1780511
Women's Twenty20 Asia Cup,2018,3228079
ICC Women's T20 World Cup,2018/19,374663
Pakistan tour of England,2019,8363203
Australia tour of United Arab Emirates,2018/19,2564356
New Zealand tour of United Arab Emirates,2018/19,7449336
Australia Women v Pakistan Women T20I Series,2018/19,9098717
Pakistan vs West Indies ODI Series,2018/19,9198729
West Indies Women tour of Pakistan and United Arab Emirates,2018/19,6903910
ICC Women's T20 World Cup,2019/20,4585427
Pakistan Women tour of South Africa,2019,7376200
Pakistan tour of Australia,2019/20,886926
Pakistan tour of England,2020,236619
Sri Lanka tour of Pakistan,2019/20,5048219
Bangladesh Women tour of Pakistan,2019/20,6312331
Sri Lanka in Pakistan Test Series,2019/20,2284104
England Women ODI tour of Malaysia,2019/20,7709391
England Women tour of Malaysia,2019/20,3725946
Bangladesh tour of Pakistan,2019/20,9290065
Bangladesh in Pakistan Test Series,2019/20,5159654
Zimbabwe tour of Pakistan,2020/21,2362469
Pakistan tour of England,2021,9546469
South Africa tour of Pakistan,2020/21,5112005
ICC Women's World Cup,2021/22,5892427
Pakistan Women tour of Zimbabwe,2020/21,1142681
Pakistan tour of West Indies,2021,9847823
Pakistan Women tour of West Indies,2021,9705728
Pakistan tour of Bangladesh,2021/22,6311375
ICC Women's Cricket World Cup Qualifier,2021/22,7372099
West Indies Women tour of Pakistan,2021/22,7035905
Australia tour of Pakistan,2021/22,4963639
Commonwealth Games Women's Cricket Competition,2022,6979401
Ireland Women tour of Pakistan,2022/23,6990469
Sri Lanka Women tour of Pakistan,2022,9811609
Pakistan tour of Netherlands,2022,2274491
Ireland Tri-Nation Women's T20I Series,2022,2043282
Pakistan tour of Sri Lanka,2022,5851612
New Zealand T20I Tri-Series,2022/23,9879583
Pakistan tour of West Indies,2005,1258892
NatWest Series,2006,7872568
Pakistan tour of England and Scotland,2006,5452087
England tour of Pakistan,2005/06,9585653
India tour of Pakistan,2005/06,1345985
India in Pakistan ODI Series,2005/06,2585792
Pakistan in Sri Lanka ODI Series,2005/06,5507162
DLF Cup,2005/06,9829843
ICC World Cup,2006/07,4014020
West Indies in Pakistan ODI Series,2006/07,565862
ICC World Twenty20,2007/08,547905
Pakistan in India ODI Series,2007/08,3633394
Pakistan tour of India,2007/08,6852780
